Temperature (C),Temperature (K),1/T (1/K),Rate Constant k (1/s),ln(k),Conversion (%),Pressure (bar),Agitation RPM,Residence Time (min),Heat Duty (kJ/mol),Cooling Load (kW),Scale-Up Success
40.703,313.853,0.00318621,0.007674761686254944,-4.86981804,37.144,10.583,532,83.494,42.752,17.233,0
71.416,344.566,0.0029022,0.03822314295239706,-3.26431411,39.456,5.301,763,154.618,47.228,61.552,0
108.232,381.382,0.00262204,0.1862724011127283,-1.68054515,45.259,13.241,254,294.315,39.013,234.895,0
84.781,357.931,0.00279383,0.07053101602389036,-2.65170272,36.512,9.963,343,216.096,42.173,147.486,0
89.856,363.006,0.00275478,0.08795791876062295,-2.43089677,40.097,2.051,1152,59.58,48.686,32.927,0
24.054,297.204,0.00336469,0.002798065271133562,-5.87882708,41.758,6.845,771,12.489,55.872,237.908,0
30.785,303.935,0.00329018,0.004263841818499318,-5.45758469,40.355,5.714,1111,138.283,46.532,181.305,0
54.228,327.378,0.00305457,0.01615239179377276,-4.12568714,36.477,1.008,379,27.148,39.237,129.292,0
105.733,378.883,0.00263934,0.1689231560884811,-1.77831137,37.909,10.378,270,203.98,43.008,56.386,0
72.253,345.403,0.00289517,0.03977339713534525,-3.224557,45.36,5.293,1149,268.994,54.359,58.597,0
94.633,367.783,0.00271899,0.1076765007513296,-2.22862391,36.692,13.084,589,53.779,37.666,196.974,0
72.953,346.103,0.00288931,0.04111200981419529,-3.19145499,42.698,13.278,760,184.254,43.306,98.026,0
90.361,363.511,0.00275095,0.0898815824711283,-2.40926223,43.317,12.472,903,38.821,49.922,60.104,0
22.157,295.307,0.00338631,0.002476238573037386,-6.00101457,42.501,7.744,830,196.395,47.135,179.814,0
71.398,344.548,0.00290235,0.03819039542784056,-3.26517122,38.01,1.523,904,251.193,38.098,220.001,0
31.714,304.864,0.00328015,0.004512488942642666,-5.40090641,36.7,4.42,180,150.618,44.518,231.622,0
111.633,384.783,0.00259887,0.2123475531905655,-1.54953094,44.892,1.768,952,31.392,42.067,39.914,1
44.222,317.372,0.00315088,0.00937131047019354,-4.67010233,36.61,7.714,1028,201.989,43.792,183.972,0
55.926,329.076,0.00303881,0.01765764037356449,-4.03658671,40.732,3.22,533,16.922,41.229,234.683,0
55.988,329.138,0.00303824,0.01771487262515329,-4.03335073,40.583,14.24,927,249.337,46.368,194.717,0
49.876,323.026,0.00309573,0.01279974519098069,-4.35833002,36.46,3.082,1030,122.803,48.926,165.089,0
57.858,331.008,0.00302108,0.01951993183622576,-3.93631919,38.235,3.776,1166,85.084,40.947,6.277,0
20.515,293.665,0.00340524,0.002224880987638245,-6.10805185,38.368,12.603,543,25.02,40.576,128.479,0
102.403,375.553,0.00266274,0.1479900691709654,-1.91061011,43.444,5.313,312,135.478,39.65,8.895,0
68.479,341.629,0.00292715,0.03319482251165059,-3.40536136,43.902,7.866,561,258.094,47.912,155.182,0
126.925,400.075,0.00249953,0.3723307664624705,-0.98797266,42.945,3.711,1047,146.505,38.548,124.866,0
36.018,309.168,0.00323449,0.005841521647495631,-5.14276396,43.481,8.037,573,209.517,49.578,109.583,0
118.277,391.427,0.00255475,0.272488966738235,-1.30015715,37.829,11.594,399,288.372,51.387,24.664,0
122.406,395.556,0.00252809,0.3168263721032178,-1.14940138,43.09,7.748,352,14.179,45.703,109.84,0
109.809,382.959,0.00261125,0.1979964448237869,-1.6195062,43.675,7.62,118,85.407,40.302,100.146,0
81.957,355.107,0.00281605,0.0622059901937386,-2.77730398,43.306,8.515,1119,113.77,52.902,126.92,0
115.031,388.181,0.00257612,0.2414905360322706,-1.42092499,37.875,1.9,1015,237.062,38.357,36.579,0
111.439,384.589,0.00260018,0.2107796623982133,-1.55694195,38.717,5.406,850,70.297,51.007,164.616,0
76.21,349.36,0.00286238,0.04787410454759459,-3.03918054,43.555,6.823,407,61.173,45.494,229.321,0
135.96,409.11,0.00244433,0.5086906218975668,-0.67591526,48.754,6.249,172,41.233,52.522,171.065,1
105.131,378.281,0.00264354,0.1649593901788786,-1.80205596,42.28,5.206,507,176.471,50.721,146.406,0
23.384,296.534,0.00337229,0.002680360931111645,-5.92180382,38.554,6.884,574,271.138,56.357,74.563,0
63.083,336.233,0.00297413,0.0254529757025525,-3.67092262,42.164,6.301,1010,293.241,55.96,246.33,0
