temperature_C,pressure_atm,catalyst_ratio_mol_pct,mixing_speed_rpm,residence_time_min,efficiency_pct,yield_pct,cost_per_batch_INR
146.1,13.51,1.491,567,57.3,40.21,38.57,1631
75.2,3.54,0.933,86,33.4,63.2,60.66,869
158.2,1.31,2.69,368,14.4,80.15,75.55,1302
224.5,13.37,1.7,231,177.9,37.48,34.68,1633
222.5,10.77,2.62,418,151.4,60.3,55.81,1753
169.2,12.32,0.9,574,135.6,42.56,40.28,1574
132.2,1.84,2.826,198,42.8,77.05,75.65,1259
61.9,13.47,1.085,576,14.7,63.38,59.61,1419
119.2,6.87,0.947,529,92.5,82.97,77.92,1271
248.1,13.57,1.895,384,136.1,43.94,41.79,1781
198.0,1.91,4.435,467,173.7,86.01,87.63,1575
196.3,13.39,4.048,526,153.5,54.89,50.0,2063
204.6,10.43,4.816,492,161.9,76.45,71.5,1982
177.8,8.76,2.571,230,50.6,71.48,66.84,1490
171.3,1.86,1.906,497,36.4,77.35,78.66,1408
146.2,10.64,4.869,222,52.1,71.78,68.11,1699
144.3,9.37,2.218,527,33.6,73.1,70.76,1553
225.5,11.17,0.541,191,145.7,43.52,40.21,1400
134.8,11.03,4.19,365,163.5,66.16,59.65,1655
219.7,7.21,1.261,431,62.2,89.35,84.06,1508
219.2,3.87,3.731,284,159.1,99.0,96.69,1623
206.5,13.87,0.568,481,19.4,33.68,33.11,1582
67.2,13.96,0.999,559,125.2,56.18,55.64,1421
88.1,3.97,2.676,152,99.7,80.08,80.35,1129
119.8,9.83,0.806,68,57.0,55.77,50.96,1188
221.0,3.84,4.499,395,140.6,99.0,90.08,1683
225.9,13.06,3.874,381,46.0,53.47,53.18,1959
67.9,2.37,1.977,238,80.7,71.72,68.3,1059
121.7,14.86,3.189,482,130.7,56.2,56.96,1716
221.6,9.55,3.72,504,67.5,82.41,83.49,1839
107.4,1.32,3.899,233,155.4,78.75,72.21,1265
245.4,13.35,2.281,425,157.1,48.21,47.38,1810
153.0,10.58,4.545,403,44.4,77.77,70.62,1735
238.1,10.76,4.738,238,84.9,72.64,68.89,1966
141.5,4.85,1.381,583,83.4,88.41,88.5,1269
121.5,5.72,4.601,241,79.7,95.9,91.61,1506
128.9,13.8,3.707,391,95.3,59.42,53.71,1806
228.0,9.89,4.497,259,22.6,78.6,73.0,1792
122.8,1.24,2.411,57,157.9,70.14,63.85,1053
187.2,5.58,3.475,100,59.3,98.87,93.83,1485
149.3,9.38,1.559,178,10.3,69.45,68.31,1173
238.9,3.07,3.88,497,126.5,95.25,93.27,1704
90.3,2.38,3.118,293,120.6,81.31,80.19,1132
141.4,1.83,2.664,374,177.1,83.18,78.69,1339
83.7,9.83,3.617,569,132.3,75.7,70.54,1569
169.8,5.49,2.986,131,66.6,92.92,84.26,1458
136.6,6.23,3.944,524,171.9,97.34,98.6,1569
71.6,1.84,4.363,259,72.1,84.05,76.83,1286
221.5,11.33,4.103,236,149.6,68.61,63.22,1767
131.3,11.73,1.884,394,67.1,57.9,52.29,1488
153.8,12.61,4.893,544,18.3,59.89,56.18,1947
137.4,10.12,3.424,242,134.7,73.79,73.66,1543
152.8,11.83,1.956,469,69.5,55.47,52.14,1673
63.1,9.08,0.692,61,67.6,56.83,55.69,1069
214.9,7.88,4.946,393,131.7,97.39,98.94,1820
123.1,4.64,3.196,397,64.7,94.8,95.48,1406
197.6,1.75,1.524,356,30.1,80.51,74.2,1220
72.3,5.09,2.71,566,78.8,83.93,79.15,1282
159.5,10.57,2.289,566,150.1,64.12,63.49,1615
232.7,13.98,4.781,238,32.1,57.18,58.17,2066
135.7,4.59,2.717,301,104.3,97.12,95.75,1247
97.5,10.38,2.681,486,32.5,69.01,64.2,1546
78.8,7.7,4.076,514,18.4,84.42,77.33,1576
223.2,9.79,2.259,280,74.4,67.69,64.94,1569
105.4,1.02,1.384,242,121.8,66.93,61.79,1033
245.3,2.72,3.958,501,56.7,96.04,89.06,1751
107.1,4.04,4.595,257,85.8,93.6,91.36,1422
151.4,13.51,0.706,273,93.5,31.47,30.26,1408
147.0,1.57,4.37,125,153.0,91.51,83.68,1328
71.8,8.97,2.47,349,149.2,68.51,62.92,1292
161.0,14.0,1.801,230,10.4,38.67,34.89,1545
187.8,10.13,0.676,375,80.4,60.65,56.19,1409
201.0,7.78,1.425,297,121.5,82.15,82.69,1434
159.3,6.4,1.998,461,154.9,86.81,86.39,1411
214.4,9.74,0.818,203,18.3,57.16,54.29,1371
202.9,7.73,1.35,145,116.8,80.27,79.39,1318
96.9,10.88,3.816,437,153.1,70.63,67.02,1683
136.3,9.65,3.591,261,53.4,73.56,73.2,1483
87.1,8.94,3.964,360,44.9,77.33,71.29,1608
85.4,14.4,1.244,568,89.5,58.36,53.6,1549
195.3,12.7,0.694,316,173.6,37.41,34.02,1421
160.8,9.52,2.609,134,127.8,67.59,62.79,1406
174.2,8.54,2.043,285,82.2,77.23,70.86,1370
199.1,11.14,3.995,313,13.5,64.48,64.21,1821
112.7,12.25,2.925,471,104.6,61.62,57.24,1685
136.3,5.13,4.69,157,69.3,99.0,95.23,1486
175.3,10.34,0.775,241,41.6,58.88,58.34,1420
78.4,2.89,2.137,78,95.0,69.15,67.86,1005
218.3,7.03,2.324,436,68.0,88.37,81.7,1646
125.3,14.14,1.067,459,16.6,39.31,35.74,1525
185.2,5.57,3.124,301,133.3,95.95,96.85,1501
249.2,3.16,0.681,346,134.5,80.82,78.77,1373
150.3,3.05,3.707,462,115.2,93.46,92.04,1486
100.9,6.51,0.668,198,152.9,63.76,60.34,1136
101.1,4.15,4.431,384,44.5,85.7,79.61,1446
71.5,6.98,0.793,580,58.7,71.65,69.05,1250
205.7,11.06,2.554,412,88.0,56.91,51.75,1669
115.8,13.43,1.199,93,20.2,40.76,40.6,1222
92.8,2.54,1.099,210,160.2,67.0,65.56,995
195.6,11.76,3.745,336,93.4,60.82,60.29,1696
118.7,2.45,3.984,90,65.2,87.79,85.0,1362
174.1,6.31,3.826,422,91.3,99.0,95.97,1614
139.4,14.95,2.318,410,65.3,44.65,43.41,1660
123.5,1.96,4.959,532,58.7,95.13,94.57,1552
153.0,1.32,2.03,325,86.2,78.58,72.85,1218
119.6,5.67,1.604,431,91.9,84.56,83.02,1302
225.4,14.32,4.984,150,83.7,53.75,51.94,1912
73.9,1.28,4.898,52,103.1,76.23,73.14,1074
65.7,4.12,3.163,145,143.2,70.6,68.12,1089
137.2,9.44,1.441,84,19.7,58.06,54.15,1220
92.8,4.27,1.573,285,148.0,72.95,65.98,1128
201.3,1.75,2.844,308,48.9,84.35,83.6,1403
127.2,1.73,3.992,404,52.9,91.09,92.0,1445
109.7,8.83,0.849,127,111.9,59.89,57.36,1051
128.3,8.87,3.595,168,175.9,75.5,75.54,1421
101.7,10.89,0.964,489,13.0,55.13,53.29,1349
116.9,2.84,4.298,367,124.4,94.58,95.68,1509
167.9,8.0,2.895,66,128.5,79.04,75.96,1534
224.2,9.41,4.954,517,107.5,88.67,81.98,1917
130.5,4.11,3.888,396,11.6,95.06,95.48,1526
120.9,8.66,2.738,153,113.1,79.02,78.71,1356
208.5,10.92,1.135,189,29.6,48.55,46.01,1480
64.3,14.87,2.941,354,23.3,64.74,64.81,1480
117.4,9.35,1.015,358,128.3,67.07,60.44,1364
145.9,13.06,4.573,493,129.0,56.33,56.11,1776
