temperature_C,pressure_atm,catalyst_type,catalyst_conc_mol_L,scale_mL,time_min,conversion_pct,yield_pct,rate_constant,activation_energy_J_mol,heat_dissipation_W_m2
131.2,10.42,H2SO4,0.0589,500,19.1,99.5,94.3,15.214271,72815.0,663.6
240.6,12.15,H2SO4,0.085,50000,63.3,96.6,94.64,2405.251583,75264.0,1033.5
199.1,4.51,Amberlyst-15,0.0213,5000,35.4,99.5,87.86,97.128376,78102.0,868.9
173.7,9.75,H2SO4,0.0217,1000000,108.6,93.1,82.78,45.009538,76539.0,925.9
89.6,9.0,H2SO4,0.0601,500,122.5,93.54,83.04,1.067413,78073.0,537.5
89.6,12.66,Amberlyst-15,0.0952,500,132.6,98.44,90.55,1.596287,73877.0,571.1
71.0,13.69,Ti(OBu)4,0.0473,50000,53.4,15.95,15.34,0.254046,74714.0,674.2
224.6,1.17,Ti(OBu)4,0.0394,500,25.2,98.94,95.41,526.530712,72911.0,870.1
174.2,10.44,H2SO4,0.0646,500000,23.4,96.72,92.25,137.394955,73632.0,932.3
194.5,1.73,H2SO4,0.0937,500,82.4,99.5,96.48,411.533995,73146.0,822.6
63.9,8.68,Amberlyst-15,0.0853,1000000,170.8,39.76,36.27,0.198733,72387.0,679.8
244.3,5.03,Amberlyst-15,0.0996,500000,47.0,96.57,85.83,2748.389138,77732.0,1116.6
218.2,5.29,Ti(OBu)4,0.012,500,53.6,97.08,85.99,128.748107,70816.0,886.5
100.3,5.94,p-TSA,0.0202,2000,27.2,31.21,30.13,0.849239,77740.0,614.7
94.5,9.7,H2SO4,0.0649,500,112.9,97.7,93.11,1.724224,77492.0,558.3
94.8,5.68,p-TSA,0.0839,500000,125.6,94.08,89.36,2.547783,76000.0,699.1
117.8,11.26,p-TSA,0.0357,500,119.3,97.73,89.32,5.053743,72771.0,626.6
159.7,6.66,Amberlyst-15,0.0315,500,156.4,99.5,91.34,26.965651,71836.0,695.7
142.1,1.96,H2SO4,0.0808,500,92.7,99.09,96.7,31.272052,73903.0,672.3
115.3,11.97,H2SO4,0.0151,500000,32.9,55.29,49.01,1.562594,76250.0,806.5
176.3,5.0,Amberlyst-15,0.0432,500,59.2,98.67,94.47,68.659622,75006.0,778.5
86.5,7.06,p-TSA,0.0555,50000,122.6,81.4,74.15,0.857995,72913.0,678.0
115.5,10.6,Amberlyst-15,0.0604,1000000,114.2,92.01,81.33,5.019147,77296.0,832.9
129.6,5.65,Ti(OBu)4,0.0756,50000,100.3,97.25,92.81,14.554684,78369.0,753.7
146.7,1.79,H2SO4,0.0419,500000,126.1,95.26,86.98,18.997878,74547.0,857.8
209.2,6.23,Ti(OBu)4,0.0651,2000,118.4,97.31,92.66,544.660471,75219.0,879.0
97.9,14.22,Amberlyst-15,0.0627,50000,159.8,96.67,91.91,1.896251,71982.0,655.4
157.7,9.98,H2SO4,0.0593,1000000,109.6,96.59,90.16,56.803719,74171.0,865.7
172.6,10.4,Ti(OBu)4,0.0676,5000,142.4,98.18,94.03,118.016139,76021.0,841.6
68.8,9.85,Ti(OBu)4,0.0334,1000000,52.3,10.78,10.11,0.132363,75710.0,678.3
175.4,3.79,p-TSA,0.0176,50000,125.3,97.41,88.51,34.965228,73985.0,928.9
92.4,6.86,H2SO4,0.0207,5000,163.4,67.92,64.76,0.448286,74452.0,645.1
72.4,11.51,Ti(OBu)4,0.0302,500000,75.6,20.69,19.43,0.16228,74106.0,643.9
