Temperature (C),Temperature (K),1/T (1/K),Rate Constant k (1/s),ln(k),Conversion (%),Pressure (bar),Agitation RPM,Residence Time (min),Heat Duty (kJ/mol),Cooling Load (kW),Scale-Up Success
107.195,380.345,0.00262919,0.08554950397226449,-2.45866008,36.066,8.046,172,27.913,54.928,174.777,0
123.406,396.556,0.00252171,0.1764504688436978,-1.73471507,43.59,7.005,123,223.451,48.784,65.64,0
92.499,365.649,0.00273486,0.04198585564412972,-3.17042249,39.445,4.229,253,70.863,52.798,60.444,0
51.035,324.185,0.00308466,0.003979844230228787,-5.5265126,40.845,14.786,270,219.345,62.166,147.691,0
109.763,382.913,0.00261156,0.09633792309176707,-2.33989324,42.973,7.093,463,216.702,58.949,160.934,0
76.2,349.35,0.00286246,0.01777683530068564,-4.02985906,41.677,10.326,509,100.003,50.146,182.909,0
73.736,346.886,0.00288279,0.01550160141388863,-4.16681194,44.161,8.823,776,233.025,62.032,230.86,0
67.241,340.391,0.0029378,0.01070209835746282,-4.53731545,35.398,12.682,232,175.435,47.405,33.177,0
114.03,387.18,0.00258278,0.1169471100380674,-2.1460335,40.865,10.165,277,101.566,61.191,194.55,0
127.762,400.912,0.00249431,0.2122127825310262,-1.55016582,40.904,14.107,526,272.702,46.189,110.899,0
161.954,435.104,0.0022983,0.794610647107737,-0.22990304,42.239,14.139,742,279.006,54.709,90.067,0
106.827,379.977,0.00263174,0.08409475077855015,-2.47581113,41.553,10.812,760,242.588,51.636,69.892,0
161.57,434.72,0.00230033,0.7838188206829637,-0.24357738,41.405,2.838,925,51.497,53.293,125.391,0
86.459,359.609,0.0027808,0.03081288693330447,-3.47982227,42.187,7.66,746,106.792,45.841,199.345,0
77.29,350.44,0.00285356,0.01887551679976234,-3.9698896,41.849,6.499,453,133.556,53.125,195.783,0
72.639,345.789,0.00289194,0.0145755065735157,-4.22841279,35.98,9.936,1137,58.903,57.458,132.714,0
168.115,441.265,0.00226621,0.9863319828977157,-0.01376228,51.723,14.936,513,281.216,61.598,104.351,0
99.161,372.311,0.00268593,0.0583787467108111,-2.84080338,40.297,5.575,1098,80.903,59.354,76.287,0
119.064,392.214,0.00254963,0.1462042404639251,-1.92275073,41.879,7.397,129,189.994,62.896,14.762,0
31.847,304.997,0.00327872,0.001076926686990656,-6.83364395,44.543,11.257,877,241.185,64.191,92.841,0
144.383,417.533,0.00239502,0.4142161625124961,-0.88136731,41.828,8.476,818,224.475,55.97,28.905,0
121.863,395.013,0.00253156,0.1651232523930543,-1.8010631,38.937,2.458,341,72.984,47.568,23.602,0
49.613,322.763,0.00309825,0.003631714245298466,-5.6180505,36.404,12.66,944,239.816,53.621,158.922,0
117.606,390.756,0.00255914,0.1371296557689725,-1.98682841,45.489,11.102,1036,289.983,66.779,208.305,0
135.009,408.159,0.00245003,0.2859716298731385,-1.25186267,37.847,11.768,255,22.824,45.11,123.311,0
36.172,309.322,0.00323288,0.001466527591458521,-6.52485786,42.707,7.722,206,240.277,46.99,64.315,0
68.669,341.819,0.00292552,0.01162440522163519,-4.45464849,39.431,4.475,706,171.05,48.212,147.83,0
129.675,402.825,0.00248247,0.2298382065993254,-1.47037967,38.469,6.233,108,135.119,47.87,106.355,0
45.595,318.745,0.0031373,0.002791673249071473,-5.88111413,43.891,11.597,1127,226.181,63.857,171.185,0
133.375,406.525,0.00245987,0.2676184003105985,-1.31819319,42.146,7.723,543,184.01,57.0,185.892,0
168.528,441.678,0.00226409,1.000511094081365,0.00051096,47.624,6.081,1091,244.14,53.022,233.7,1
72.436,345.586,0.00289364,0.0144096822893463,-4.23985492,37.175,2.833,583,143.112,50.827,159.513,0
137.445,410.595,0.00243549,0.3153866273389181,-1.153956,38.184,12.711,425,126.017,45.354,201.911,0
142.725,415.875,0.00240457,0.3884146548061265,-0.94568181,40.449,12.532,498,266.213,62.402,178.536,0
159.298,432.448,0.00231242,0.7225412024484485,-0.32498083,41.566,1.175,149,255.664,48.702,131.547,0
34.321,307.471,0.00325234,0.001286348335146089,-6.65594782,35.065,7.012,379,107.732,60.549,229.389,0
144.829,417.979,0.00239246,0.4214079666290616,-0.86415387,38.988,8.801,1137,18.399,51.683,128.827,0
40.066,313.216,0.00319268,0.001922481338942431,-6.25413856,36.305,7.409,314,94.493,62.398,76.13,0
132.7,405.85,0.00246396,0.2603443751839024,-1.34575,37.897,3.34,326,125.019,47.564,164.353,0
152.758,425.908,0.00234792,0.5688431845710994,-0.56415048,41.308,6.566,992,206.57,55.272,69.509,0
131.946,405.096,0.00246855,0.2524251350384317,-1.37664057,40.083,14.379,1033,59.389,63.299,220.508,0
33.908,307.058,0.00325671,0.001248999283372478,-6.68541262,40.119,13.319,1022,74.295,50.965,22.591,0
77.933,351.083,0.00284833,0.01955180337549333,-3.93468775,43.591,12.275,298,143.424,56.551,30.507,0
135.089,408.239,0.00244955,0.2868979252434596,-1.24862879,40.039,13.505,831,117.133,45.339,198.064,0
97.52,370.67,0.00269782,0.05388537650828627,-2.92089615,43.987,1.258,766,99.57,49.829,26.093,0
126.95,400.1,0.00249938,0.2050989287747621,-1.58426284,43.349,13.589,200,145.625,59.48,217.202,0
108.027,381.177,0.00262345,0.08892109682572426,-2.42000585,44.968,8.479,497,117.959,51.665,29.232,0
110.259,383.409,0.00260818,0.09855532969746487,-2.31713717,44.556,14.759,935,59.804,50.564,117.451,0
101.263,374.413,0.00267085,0.06461969257536748,-2.73923608,36.849,2.734,220,137.551,63.069,106.427,0
151.955,425.105,0.00235236,0.5521013375565128,-0.59402367,48.067,9.769,658,88.341,66.857,142.302,0
90.211,363.361,0.00275208,0.0373876304476647,-3.28641537,38.004,2.566,587,239.139,48.987,177.734,0
38.546,311.696,0.00320825,0.001731084143374757,-6.35900739,39.047,14.871,1179,60.742,56.111,247.648,0
147.239,420.389,0.00237875,0.4621935796455437,-0.77177147,40.698,7.723,539,262.106,62.446,159.781,0
101.79,374.94,0.00266709,0.06627448344787465,-2.71395032,41.691,13.055,991,74.986,57.086,221.906,0
135.675,408.825,0.00244603,0.2937638123538763,-1.22497919,46.712,12.79,440,124.03,63.003,239.233,0
36.911,310.061,0.00322517,0.001544649588877919,-6.4729582,42.786,3.419,102,62.611,57.74,124.13,0
51.704,324.854,0.00307831,0.004153829912623106,-5.4837245,40.05,10.4,202,83.909,56.133,40.637,0
150.425,423.575,0.00236086,0.5213903988559009,-0.65125619,43.758,8.506,141,26.077,57.109,50.515,0
63.036,336.186,0.00297454,0.008355612746416325,-4.78482178,36.021,6.993,528,76.106,64.898,217.212,0
143.877,417.027,0.00239793,0.4061872423999677,-0.90094104,45.306,8.659,680,233.896,56.367,143.672,0
58.249,331.399,0.00301751,0.006255902647814647,-5.07422984,39.396,1.214,536,111.85,50.413,202.697,0
44.386,317.536,0.00314925,0.002575859805054178,-5.9615719,37.637,11.701,791,183.205,45.289,237.138,0
163.396,436.546,0.00229071,0.8363000569085882,-0.17876781,43.467,12.105,1098,26.706,64.798,134.674,0
168.218,441.368,0.00226568,0.9898517324984326,-0.01020011,43.163,5.669,1127,169.279,61.905,16.377,0
71.696,344.846,0.00289985,0.01381943713965864,-4.28167919,40.071,12.272,789,242.687,50.134,135.02,0
106.068,379.218,0.00263701,0.08116344590330034,-2.51129031,35.979,12.287,526,196.719,58.469,63.483,0
105.121,378.271,0.00264361,0.07763343207703718,-2.55575712,40.758,8.609,441,38.462,67.065,9.386,0
95.745,368.895,0.0027108,0.04937399968970279,-3.00833132,43.573,5.848,612,22.113,65.584,166.475,0
46.532,319.682,0.00312811,0.002970050582124656,-5.8191763,38.448,4.911,867,81.839,46.05,217.56,0
38.298,311.448,0.00321081,0.001701551662645235,-6.3762147,35.235,2.523,827,113.329,60.973,48.656,0
160.388,433.538,0.0023066,0.7513972808874344,-0.28582076,49.559,2.829,951,243.481,46.377,192.076,1
158.074,431.224,0.00231898,0.6912933289514125,-0.36919105,49.618,8.915,1130,293.894,47.81,151.485,1
70.458,343.608,0.00291029,0.01288034390308317,-4.35205286,38.241,13.475,452,138.863,47.466,96.262,0
69.571,342.721,0.00291783,0.01224317442042627,-4.40278669,41.035,8.751,893,100.399,65.211,168.181,0
106.686,379.836,0.00263272,0.08354320131044328,-2.4823914,35.873,3.439,732,94.174,56.891,73.273,0
63.707,336.857,0.00296862,0.0086958239963384,-4.74491237,36.639,10.436,723,275.485,48.316,112.749,0
75.327,348.477,0.00286963,0.01693860068917889,-4.0781602,41.232,7.183,277,20.614,59.423,241.707,0
46.733,319.883,0.00312614,0.003009633391354721,-5.805937,42.408,3.582,981,195.207,63.906,127.486,0
60.61,333.76,0.00299616,0.007223229430520485,-4.93045314,36.777,7.775,1149,142.962,56.653,42.993,0
28.943,302.093,0.00331024,0.0008709392928515163,-7.04593828,41.806,2.28,756,183.911,59.409,6.953,0
26.06,299.21,0.00334213,0.0007025642508407565,-7.2607737,36.619,11.259,670,96.409,52.85,15.571,0
146.194,419.344,0.00238468,0.444102890056113,-0.81169901,39.397,4.188,460,275.816,52.473,22.9,0
34.035,307.185,0.00325537,0.001260378026681374,-6.67634358,44.135,13.409,558,132.71,45.529,201.088,0
162.12,435.27,0.00229742,0.7993157735185268,-0.2239992,42.802,6.962,1079,110.343,65.615,56.47,0
161.409,434.559,0.00230118,0.7793322421410526,-0.24931783,44.743,9.736,686,259.983,47.84,157.731,0
74.734,347.884,0.00287452,0.01638960768108091,-4.11110782,40.7,10.867,964,10.331,46.506,61.773,0
153.856,427.006,0.00234189,0.5924525082977071,-0.52348456,49.128,5.25,502,199.868,53.729,238.497,1
65.413,338.563,0.00295366,0.009617642309382283,-4.64415613,35.767,12.453,730,177.844,45.51,242.01,0
59.528,332.678,0.00300591,0.006764344885459397,-4.99608986,39.925,6.346,303,166.746,49.589,38.831,0
151.944,425.094,0.00235242,0.551875019463743,-0.59443367,47.799,8.781,952,164.142,55.994,230.39,0
102.35,375.5,0.00266312,0.06807406412536574,-2.68715899,40.232,11.138,656,140.125,54.807,71.204,0
96.804,369.954,0.00270304,0.05202323625469473,-2.95606481,38.601,13.316,1069,152.341,50.44,246.579,0
155.886,429.036,0.00233081,0.6383625404922305,-0.44884891,49.357,14.802,377,64.203,46.494,216.816,0
156.877,430.027,0.00232544,0.6618810369950973,-0.41266944,40.475,14.25,655,104.823,58.291,33.11,0
77.104,350.254,0.00285507,0.01868383604524163,-3.98009651,35.85,7.172,377,150.769,59.439,6.405,0
58.957,332.107,0.00301108,0.006532925018665907,-5.0309005,42.274,11.856,867,293.026,58.108,123.126,0
99.819,372.969,0.00268119,0.06027208944739049,-2.80888614,44.127,9.138,761,195.42,66.453,102.196,0
72.664,345.814,0.00289173,0.01459604625718207,-4.22700459,42.036,6.089,386,251.424,66.211,25.691,0
121.491,394.641,0.00253395,0.1624903790153189,-1.81713649,45.516,13.054,1049,249.215,49.308,93.118,0
115.332,388.482,0.00257412,0.1239684004097656,-2.08772858,42.645,7.289,1167,189.124,66.557,116.097,0
