Temperature (C),Temperature (K),1/T (1/K),Rate Constant k (1/s),ln(k),Conversion (%),Pressure (bar),Agitation RPM,Residence Time (min),Heat Duty (kJ/mol),Cooling Load (kW),Scale-Up Success
108.942,382.092,0.00261717,0.1945005182893014,-1.63732045,46.051,2.858,1159,63.358,49.586,139.805,1
101.829,374.979,0.00266682,0.1425835207032698,-1.94782734,39.72,13.885,103,265.168,55.558,236.999,0
43.628,316.778,0.00315678,0.006655293263635851,-5.01234276,44.383,2.026,725,43.372,51.718,92.493,0
75.652,348.802,0.00286696,0.04077829799167251,-3.19960525,44.885,8.884,690,115.284,49.218,93.205,0
72.909,346.059,0.00288968,0.03537546970435527,-3.34173665,37.378,9.325,368,60.436,61.237,17.167,0
56.618,329.768,0.00303243,0.01448568042765374,-4.23459467,40.92,10.535,607,160.233,47.367,115.207,0
75.231,348.381,0.00287042,0.03990417169394401,-3.22127441,41.558,14.285,156,26.806,56.079,187.187,0
52.428,325.578,0.00307146,0.01134836965243073,-4.47868119,38.318,5.994,592,52.782,59.191,221.848,0
51.671,324.821,0.00307862,0.01085150506099828,-4.52345149,36.368,4.851,305,257.993,56.419,56.031,0
62.719,335.869,0.00297735,0.02044384333047054,-3.8900735,38.966,13.315,1139,193.006,45.18,60.2,0
141.132,414.282,0.00241381,0.6938993979211233,-0.36542829,49.673,4.102,1020,90.333,41.859,97.878,1
62.028,335.178,0.00298349,0.01967386460567258,-3.92846419,45.122,4.164,233,274.181,53.36,117.36,0
96.1,369.25,0.00270819,0.1100725401057075,-2.20661568,45.271,1.716,494,24.143,43.923,162.768,0
75.115,348.265,0.00287138,0.03966626455745283,-3.22725421,36.897,10.954,667,221.184,47.478,111.958,0
90.722,363.872,0.00274822,0.08569471131373359,-2.45696417,45.48,9.445,472,161.631,55.367,50.943,0
143.587,416.737,0.00239959,0.7584408813312252,-0.27649042,44.164,7.184,1010,101.19,56.968,102.797,0
