Temperature (C),Temperature (K),1/T (1/K),Rate Constant k (1/s),ln(k),Conversion (%),Pressure (bar),Agitation RPM,Residence Time (min),Heat Duty (kJ/mol),Cooling Load (kW),Scale-Up Success
162.499,435.649,0.00229543,0.8730977175739018,-0.1357078,45.192,11.904,380,136.056,52.031,50.821,0
196.103,469.253,0.00213105,2.916391080924207,1.07034692,56.215,10.785,423,68.946,69.092,209.152,1
39.27,312.42,0.00320082,0.001137867067980797,-6.77859976,43.744,8.588,1093,119.166,51.984,183.848,0
179.238,452.388,0.00221049,1.628167277775961,0.48745501,49.369,10.341,551,275.354,69.975,230.462,0
170.22,443.37,0.00225545,1.170671522224549,0.15757753,49.569,7.795,747,189.907,59.901,126.998,1
153.879,427.029,0.00234176,0.6214673878335102,-0.47567184,46.938,2.776,362,207.514,70.558,19.709,1
83.999,357.149,0.00279995,0.02154900503763914,-3.83742563,35.836,1.946,503,210.261,68.333,40.334,0
97.463,370.613,0.00269823,0.04545157611096187,-3.09110778,37.998,2.486,811,153.929,52.682,98.451,0
175.655,448.805,0.00222814,1.430431937684822,0.35797645,53.276,5.414,126,121.278,71.747,9.086,1
83.699,356.849,0.00280231,0.02118003635434719,-3.85469622,35.715,6.935,1047,298.179,56.914,169.81,0
193.826,466.976,0.00214144,2.702310674109413,0.99410721,50.398,1.367,110,189.764,59.541,58.884,1
188.083,461.233,0.0021681,2.222146229898798,0.7984735,50.917,14.204,710,99.962,66.948,5.841,1
115.819,388.969,0.0025709,0.115687848242352,-2.15685968,42.939,13.476,1187,231.463,73.025,83.219,0
150.823,423.973,0.00235864,0.5490770006503414,-0.59951659,44.077,1.29,1200,148.817,50.534,25.099,1
111.788,384.938,0.00259782,0.09495170867028348,-2.35438685,37.38,5.339,1083,192.705,58.569,98.005,0
81.251,354.401,0.00282166,0.01837586842809283,-3.99671697,37.469,7.71,667,265.805,50.462,236.488,0
170.479,443.629,0.00225414,1.182036484634944,0.16723879,49.055,3.165,569,223.76,54.778,76.276,1
136.565,409.715,0.00244072,0.3006702861132912,-1.20174101,46.114,10.671,698,149.542,58.29,83.813,0
35.413,308.563,0.00324083,0.0008484045824971837,-7.07215293,41.756,4.128,431,101.432,72.594,79.99,0
98.14,371.29,0.00269331,0.04712222634152086,-3.05501049,40.075,8.863,1055,110.478,71.132,20.668,0
53.162,326.312,0.00306455,0.003092421865051887,-5.77880072,43.422,3.97,290,171.819,65.437,31.396,0
173.941,447.091,0.00223668,1.343534668151914,0.29530395,49.692,2.02,1145,108.983,60.038,228.831,1
153.414,426.564,0.00234431,0.6099358087080903,-0.49440156,42.128,4.681,923,69.761,58.829,136.078,0
145.972,419.122,0.00238594,0.4494131480961762,-0.79981266,40.07,12.208,348,140.153,54.368,49.899,0
177.186,450.336,0.00222056,1.512182790407787,0.41355416,53.061,8.506,141,133.051,63.053,34.243,1
89.582,362.732,0.00275686,0.02956296986525393,-3.52123272,45.031,13.833,149,128.591,54.956,246.223,0
40.185,313.335,0.00319147,0.001218639212331521,-6.71002044,38.083,3.722,156,117.407,62.034,97.158,0
74.153,347.303,0.00287933,0.01203632588395409,-4.41982604,39.171,1.534,848,74.588,57.734,89.726,0
158.811,431.961,0.00231502,0.7561631978345258,-0.27949806,47.951,9.899,809,156.5,65.113,81.248,0
142.544,415.694,0.00240562,0.3890013324637073,-0.94417251,39.329,1.646,728,245.92,72.365,170.574,0
160.69,433.84,0.002305,0.8138877284538998,-0.20593285,49.586,3.66,274,49.431,58.908,156.405,1
85.132,358.282,0.0027911,0.02299539607613402,-3.77246125,45.012,7.865,1040,89.095,72.1,65.777,0
61.418,334.568,0.00298893,0.005385984091899048,-5.22395524,35.984,11.226,384,71.142,66.626,159.425,0
128.064,401.214,0.00249244,0.2057340006277878,-1.5811712,45.549,8.105,662,204.751,54.603,102.782,0
105.22,378.37,0.00264292,0.06820429288897593,-2.68524777,43.615,5.591,999,292.117,61.678,57.295,0
53.229,326.379,0.00306392,0.003106728608075973,-5.774185,43.511,1.766,262,64.413,55.97,27.475,0
154.496,427.646,0.00233838,0.6370656269411661,-0.4508826,48.692,2.591,143,159.896,53.465,169.82,1
114.297,387.447,0.002581,0.1074254891508818,-2.2309578,41.894,7.719,115,203.118,69.197,135.469,0
156.931,430.081,0.00232514,0.7020534538439492,-0.35374573,45.485,6.784,677,19.938,71.099,16.881,0
198.44,471.59,0.00212049,3.15134706718741,1.14783,50.501,13.844,1045,230.009,49.19,117.398,1
75.517,348.667,0.00286807,0.01307332501355237,-4.33718138,35.137,1.172,233,265.003,68.176,155.072,0
194.578,467.728,0.00213799,2.77144311568978,1.01936816,48.453,12.556,133,185.089,61.495,150.746,0
149.498,422.648,0.00236604,0.5200819123363977,-0.65376896,40.553,13.839,271,287.397,60.823,111.976,0
75.389,348.539,0.00286912,0.01297268363383288,-4.34490939,40.411,11.709,1016,225.784,70.697,151.129,0
45.542,318.692,0.00313783,0.001806408368235772,-6.31641473,44.108,11.907,708,68.652,56.768,26.83,0
189.018,462.168,0.00216372,2.294822186942359,0.83065536,48.027,5.385,1136,90.04,53.016,179.803,1
133.069,406.219,0.00246173,0.2577261965823091,-1.35585751,41.458,13.562,451,139.298,66.457,7.223,0
170.815,443.965,0.00225243,1.196924682000016,0.1797555,43.669,11.643,534,210.703,59.485,13.569,0
63.393,336.543,0.00297139,0.006125712788795468,-5.09526016,39.219,3.0,814,14.568,71.434,7.811,0
111.029,384.179,0.00260295,0.09144266580076678,-2.39204311,39.139,13.504,782,126.007,53.505,131.617,0
60.703,333.853,0.00299533,0.005138872819811595,-5.27092152,37.255,2.104,306,20.418,57.891,78.684,0
