temperature_C,pressure_atm,concentration_mol_L,pH,exotherm_kJ_mol,decomp_temp_C,viscosity_cP,thermal_runaway,pressure_buildup,vapor_emission,corrosion,decomposition,risk_score,severity
246.3,2.25,0.2657,4.37,137.0,300.5,20.89,1,0,1,0,1,58.9,high
117.5,6.61,0.095,2.93,48.9,292.6,39.25,0,0,0,0,1,33.7,medium
162.9,8.72,0.1437,6.57,106.7,246.3,23.82,0,0,0,0,0,49.5,medium
96.4,11.14,0.0506,6.71,145.8,370.5,43.83,0,1,0,0,1,40.3,medium
163.1,10.24,0.0236,4.28,75.5,218.2,32.42,1,1,0,0,0,52.7,high
228.4,14.64,0.2677,0.97,140.4,396.5,38.42,1,1,1,0,0,65.5,high
225.9,10.0,0.1752,3.69,124.6,295.2,40.32,1,1,0,0,0,53.1,high
230.3,18.18,0.4822,1.7,99.0,237.2,34.63,1,1,0,1,1,75.2,critical
134.1,8.23,0.094,3.64,181.5,270.9,37.59,0,0,0,0,1,44.9,medium
218.9,10.98,0.399,1.73,144.6,203.1,34.92,1,1,1,1,1,64.0,high
148.2,1.06,0.1648,5.08,84.9,233.3,27.75,0,0,0,0,0,41.5,medium
286.7,6.9,0.1195,1.02,164.8,267.1,28.54,1,1,0,1,1,63.1,high
142.4,17.46,0.4851,6.7,152.9,310.9,9.9,0,1,0,1,0,67.7,high
204.7,7.34,0.4033,1.77,162.5,225.9,41.46,1,1,0,1,1,66.3,high
240.0,5.81,0.319,4.79,135.4,335.2,15.95,1,0,1,1,0,56.4,high
277.5,11.33,0.3516,6.46,88.3,368.9,27.02,1,1,1,0,0,54.9,high
165.1,2.5,0.4958,2.11,82.7,314.5,12.85,0,0,1,1,0,49.3,medium
146.5,11.1,0.3007,6.57,137.7,259.4,34.95,0,1,0,0,0,56.2,high
163.2,6.77,0.0599,3.03,43.6,224.3,48.77,0,1,0,0,0,39.9,medium
137.7,8.28,0.0418,6.74,167.6,203.1,40.2,1,0,0,0,0,49.4,medium
216.9,16.04,0.3366,6.81,86.7,346.4,31.15,1,0,1,1,1,64.7,high
283.9,13.58,0.3322,1.72,133.5,325.7,28.59,1,1,1,1,0,77.7,critical
90.3,9.48,0.3766,5.9,109.8,295.3,24.74,0,0,0,1,0,41.4,medium
194.6,11.97,0.0633,1.76,113.5,220.4,10.65,0,1,1,1,1,59.1,high
275.4,15.57,0.473,1.97,152.8,241.4,17.73,1,1,1,1,1,77.9,critical
84.0,15.17,0.2801,1.05,132.8,363.0,20.62,0,1,0,0,0,37.6,medium
178.5,4.52,0.3283,1.52,65.1,296.0,47.26,0,0,1,1,0,33.5,medium
267.7,6.72,0.0271,4.61,33.4,392.6,21.57,0,1,0,1,0,41.4,medium
276.1,7.62,0.4809,3.42,171.2,400.0,29.52,1,1,1,1,0,68.9,high
183.4,4.56,0.2857,5.64,179.3,360.1,46.16,1,0,1,0,0,52.2,high
66.0,1.23,0.286,2.66,49.6,251.6,26.16,0,0,0,1,1,28.2,low
85.4,4.31,0.4723,6.8,75.7,246.2,12.95,0,0,1,1,0,49.6,medium
200.8,16.36,0.4654,0.82,70.8,250.7,19.36,1,1,1,1,1,65.2,high
89.7,11.37,0.1179,0.91,188.7,397.4,19.09,0,1,0,1,0,43.2,medium
95.9,7.49,0.4662,5.06,56.9,267.1,35.88,1,0,0,1,1,38.3,medium
245.3,12.56,0.3709,6.27,50.0,341.3,15.16,1,1,1,1,0,63.0,high
240.2,15.06,0.0193,5.67,52.7,391.8,36.65,0,1,0,0,0,42.5,medium
262.3,7.73,0.1275,3.68,151.4,363.9,44.52,1,1,0,0,0,61.1,high
85.4,9.86,0.2124,2.25,179.8,319.5,17.14,0,0,0,0,0,46.2,medium
107.6,2.22,0.2956,0.59,90.8,233.8,7.2,0,0,0,1,0,30.6,medium
259.9,12.34,0.3537,3.81,44.5,235.0,32.11,1,1,1,1,1,51.9,high
233.1,7.77,0.113,3.59,125.4,298.5,18.36,1,1,0,0,0,59.0,high
253.4,9.24,0.42,2.74,57.8,390.4,26.93,0,1,1,0,0,47.1,medium
297.5,9.03,0.4244,4.26,31.5,380.9,31.89,1,0,1,1,0,53.7,high
267.5,13.02,0.3211,5.24,179.5,233.2,20.68,1,0,0,0,1,68.8,high
184.9,11.88,0.4613,5.06,176.8,257.5,46.27,1,1,1,1,0,75.4,critical
134.6,9.02,0.4084,2.21,195.7,317.8,20.28,0,0,0,1,0,56.0,high
196.7,1.32,0.1186,4.3,105.3,295.5,15.72,1,0,0,0,0,31.4,medium
213.3,12.8,0.4014,1.47,72.9,223.9,44.34,1,1,1,1,1,57.1,high
140.5,17.71,0.4771,1.29,158.6,273.9,7.25,0,1,0,1,1,73.3,high
245.0,15.62,0.0774,5.61,52.5,390.9,6.65,0,1,0,0,0,46.3,medium
82.3,19.65,0.4896,5.01,63.8,390.3,46.82,0,1,0,1,0,47.5,medium
247.1,3.64,0.0222,5.49,66.0,311.9,10.84,1,0,0,0,1,45.5,medium
67.7,5.23,0.2659,1.49,191.3,327.1,7.85,0,0,0,1,0,42.2,medium
179.5,11.25,0.3892,6.45,151.4,244.4,26.99,1,1,1,0,0,54.7,high
266.7,5.48,0.3973,1.37,44.1,348.4,2.82,1,0,1,1,0,48.9,medium
80.8,1.66,0.37,6.16,36.7,210.5,31.19,0,0,0,0,0,27.6,low
184.3,8.64,0.2694,2.79,171.7,244.1,22.92,1,0,1,0,0,57.9,high
98.3,6.47,0.329,1.19,164.4,201.2,32.2,0,0,0,1,0,53.1,high
274.8,6.01,0.353,2.36,140.8,277.1,14.55,1,0,1,1,1,61.9,high
259.8,19.11,0.2523,1.68,55.3,370.1,45.32,1,0,1,1,0,61.1,high
284.1,5.53,0.3019,3.69,106.5,396.5,13.89,1,0,0,1,0,51.4,high
270.0,3.46,0.4247,6.67,128.5,333.6,32.06,1,0,1,1,1,60.5,high
236.8,3.38,0.1633,2.63,187.8,349.0,47.28,1,0,0,0,1,48.3,medium
104.4,16.32,0.2664,4.48,50.5,252.5,20.34,0,0,0,0,0,35.9,medium
132.6,14.58,0.0142,6.3,112.8,304.1,8.49,1,1,0,0,0,45.5,medium
179.2,3.46,0.3468,4.6,48.4,347.3,3.88,0,0,1,1,0,37.9,medium
201.3,5.18,0.1057,2.85,99.9,299.5,48.17,1,0,0,0,0,40.4,medium
247.7,15.2,0.2457,6.94,56.0,217.7,38.3,1,1,1,1,1,58.5,high
114.5,6.22,0.113,1.72,170.5,348.2,45.99,0,0,0,1,0,38.7,medium
90.8,19.65,0.0215,3.9,65.9,243.9,35.09,0,1,0,0,0,46.4,medium
175.8,11.27,0.2468,5.68,95.1,219.5,17.45,1,1,0,0,1,46.4,medium
97.9,4.65,0.2182,0.5,93.4,295.6,6.59,0,0,0,0,0,36.5,medium
226.5,17.32,0.2183,5.06,175.9,214.9,46.5,1,1,1,0,1,59.9,high
198.2,7.07,0.1123,2.23,156.4,325.9,24.74,1,0,0,0,0,52.0,high
237.9,6.49,0.4741,1.6,30.4,328.1,20.13,1,1,0,1,0,48.7,medium
75.2,7.22,0.0117,2.28,32.1,251.3,29.1,0,0,0,0,0,28.1,low
291.5,15.6,0.4469,6.78,119.2,392.9,5.77,1,1,1,1,0,60.1,high
60.0,4.29,0.3711,6.3,97.0,364.9,15.81,0,0,0,1,0,31.3,medium
138.1,8.25,0.0943,1.89,69.6,221.9,32.07,0,0,0,1,0,36.9,medium
223.1,1.59,0.2414,1.26,162.7,349.7,5.46,1,0,1,1,1,55.3,high
70.8,16.71,0.4945,2.87,43.2,270.6,7.19,0,1,0,1,0,48.8,medium
80.0,7.47,0.3254,4.35,195.3,350.1,25.77,0,1,1,1,0,39.4,medium
78.4,5.72,0.0724,6.14,24.3,360.2,31.36,0,0,0,0,0,11.9,low
199.6,12.02,0.2342,6.78,41.3,230.3,9.76,1,1,1,0,0,47.1,medium
275.0,14.39,0.2394,5.38,76.0,332.4,2.14,0,1,0,0,1,64.5,high
193.3,16.45,0.4031,4.39,111.6,372.5,47.94,1,1,0,1,0,65.9,high
204.9,7.61,0.4589,1.43,58.9,264.7,1.86,1,0,1,1,1,51.0,high
143.0,16.43,0.0503,0.98,152.5,216.1,0.6,0,0,0,1,0,58.4,high
64.5,9.83,0.1639,4.37,84.4,205.5,16.51,0,0,0,0,0,36.1,medium
65.2,2.92,0.1562,4.0,26.9,222.0,11.51,0,0,0,0,0,22.6,low
273.2,17.08,0.4981,6.0,178.0,200.8,28.89,1,1,1,1,1,90.0,critical
84.6,11.41,0.284,2.6,189.9,265.4,44.76,0,1,0,0,0,50.7,high
299.9,12.45,0.4411,0.76,131.3,259.9,24.31,1,1,1,1,1,76.1,critical
99.5,18.81,0.2188,3.25,165.2,222.1,38.78,0,1,0,0,0,58.4,high
221.9,11.62,0.3641,6.8,41.8,330.2,45.51,0,1,1,1,0,55.9,high
287.7,1.11,0.1504,5.67,68.4,398.4,9.88,1,0,0,0,0,43.0,medium
146.9,17.54,0.4568,0.72,78.5,380.2,24.67,0,1,0,0,0,59.2,high
236.3,6.41,0.233,6.19,192.9,250.6,32.28,1,1,1,0,1,70.6,high
144.2,10.53,0.4038,3.57,112.2,354.0,16.93,0,1,0,1,0,35.7,medium
133.2,4.89,0.1354,2.87,21.3,387.4,37.12,0,0,0,0,0,28.5,low
108.4,6.64,0.3499,2.75,88.4,381.3,35.41,0,0,0,1,1,38.0,medium
257.0,14.05,0.2085,4.37,21.4,376.9,21.34,0,1,1,0,0,52.7,high
121.8,9.16,0.0254,3.95,62.8,357.3,4.85,0,0,0,0,0,33.2,medium
128.0,12.92,0.2124,4.77,101.8,258.6,1.07,0,1,0,0,0,49.9,medium
299.8,16.65,0.2795,4.23,78.2,216.7,18.78,1,1,1,0,1,72.8,high
138.6,7.48,0.0844,1.44,25.9,297.6,4.56,0,0,0,1,0,35.8,medium
161.5,11.8,0.1001,2.17,40.9,211.0,39.19,1,1,0,0,0,48.2,medium
297.6,15.77,0.2378,5.97,119.2,399.7,17.05,1,1,1,1,0,66.0,high
148.6,14.59,0.1779,4.81,145.2,271.7,33.47,0,1,0,0,0,55.1,high
147.9,11.26,0.226,3.41,92.8,391.7,17.65,0,1,0,0,0,43.1,medium
258.7,8.28,0.2358,1.69,151.7,354.6,39.9,1,1,1,1,0,55.7,high
134.9,8.74,0.0786,0.55,49.4,282.3,44.48,0,0,0,1,0,44.2,medium
116.1,9.23,0.0988,2.53,42.0,223.7,41.96,0,0,0,0,0,29.6,low
161.6,7.63,0.4256,0.86,171.1,247.4,24.48,0,0,1,1,0,60.8,high
228.2,14.28,0.0897,3.63,81.1,334.6,4.66,1,1,0,0,0,56.7,high
70.4,3.38,0.3363,5.84,97.8,366.0,18.9,0,0,0,1,1,26.4,low
149.7,19.38,0.2151,2.36,190.6,395.9,21.51,0,1,0,1,0,64.2,high
143.1,15.8,0.4844,6.01,96.3,226.4,48.03,0,1,1,1,1,66.2,high
118.8,6.67,0.0424,5.08,20.6,231.2,28.49,0,0,0,0,1,27.8,low
217.0,1.81,0.4169,1.31,188.8,208.5,32.22,1,1,0,1,1,64.9,high
129.6,14.51,0.2508,4.69,22.5,252.1,39.21,0,1,0,0,0,49.5,medium
205.6,14.95,0.0126,1.49,139.2,364.2,28.63,1,1,0,1,1,51.2,high
181.0,19.31,0.1392,4.76,78.1,239.7,30.12,1,0,0,0,0,53.3,high
112.1,5.82,0.2098,1.43,104.7,309.6,12.64,0,0,1,1,0,37.4,medium
124.0,2.57,0.164,3.05,118.5,289.3,3.41,0,0,0,0,0,28.7,low
100.9,18.39,0.1876,4.18,93.5,265.2,36.21,0,1,1,0,0,36.7,medium
73.6,5.91,0.4592,0.83,159.4,323.7,42.51,0,0,0,1,0,40.3,medium
208.6,14.71,0.1869,1.5,187.5,300.5,20.89,1,1,0,1,0,76.3,critical
221.5,2.15,0.2152,2.58,35.6,267.0,27.67,1,0,1,0,1,35.5,medium
99.8,15.45,0.383,3.51,164.0,337.8,15.71,0,1,1,1,0,57.6,high
207.7,3.41,0.399,6.08,43.2,256.0,22.79,1,0,0,1,1,46.2,medium
295.7,14.22,0.0512,1.72,34.4,328.6,10.84,1,1,0,1,1,54.3,high
77.9,11.11,0.355,2.76,192.0,391.4,38.11,0,1,0,1,0,46.6,medium
177.7,19.15,0.2465,3.59,108.1,345.8,24.85,0,1,1,0,0,65.6,high
235.9,1.7,0.0756,2.42,47.5,283.7,27.58,1,1,0,0,0,36.5,medium
71.0,6.55,0.1397,4.57,122.6,349.5,2.34,0,0,0,0,0,31.8,medium
246.8,2.32,0.0321,2.17,67.4,361.8,31.31,0,0,0,1,0,40.4,medium
295.1,17.7,0.1865,5.52,103.6,265.2,10.53,1,1,0,0,1,65.6,high
81.2,12.28,0.1351,3.78,132.4,341.0,19.48,0,1,0,0,1,35.3,medium
257.3,11.16,0.1972,1.06,176.5,286.9,20.93,1,0,0,1,1,57.4,high
150.9,3.5,0.2944,4.58,20.6,363.7,22.71,1,0,1,1,0,31.6,medium
94.6,10.29,0.3688,4.2,58.5,259.1,11.76,0,1,0,1,0,40.0,medium
178.4,8.58,0.3066,2.7,37.3,387.6,42.58,0,0,1,1,0,43.0,medium
77.2,7.0,0.3424,0.57,37.5,315.0,21.68,1,0,0,1,0,30.5,medium
185.3,15.67,0.4342,1.8,190.2,270.7,30.8,1,0,1,1,0,63.8,high
64.6,2.16,0.4382,3.14,188.5,283.9,30.89,0,0,0,1,0,39.4,medium
234.9,13.29,0.4318,1.8,154.9,269.6,30.55,1,1,0,1,1,73.6,high
177.1,16.64,0.0851,4.25,135.8,229.2,28.19,1,1,0,0,0,58.9,high
170.1,18.24,0.133,5.13,172.6,213.7,41.22,1,1,0,0,0,72.7,high
107.1,15.17,0.2561,6.06,30.5,264.4,40.72,0,1,0,0,0,40.7,medium
146.7,6.37,0.1858,4.71,41.5,291.7,21.15,0,0,0,0,0,38.2,medium
103.6,12.41,0.0745,4.98,77.1,272.4,31.97,0,1,1,0,0,30.9,medium
236.5,3.69,0.151,4.45,169.8,202.8,5.59,1,1,0,0,1,54.5,high
107.8,3.22,0.488,6.91,105.0,315.8,4.99,0,1,0,1,1,36.3,medium
