Temperature (C),Temperature (K),1/T (1/K),Rate Constant k (1/s),ln(k),Conversion (%),Pressure (bar),Agitation RPM,Residence Time (min),Heat Duty (kJ/mol),Cooling Load (kW),Scale-Up Success
93.822,366.972,0.002725,0.007531154273129814,-4.88870696,35.193,10.21,203,225.819,65.834,92.341,0
206.748,479.898,0.00208378,1.427430696846879,0.35587611,47.302,7.839,1174,55.256,56.812,16.289,1
185.708,458.858,0.00217932,0.6533756744135325,-0.42560301,48.368,12.631,362,251.51,79.065,109.388,0
202.136,475.286,0.002104,1.209849098598323,0.19049564,43.21,5.558,972,156.405,62.981,189.931,0
62.421,335.571,0.00298,0.0009356415101268456,-6.97427816,41.159,6.252,231,186.201,77.986,37.108,0
218.437,491.587,0.00203423,2.140693303703836,0.76112975,49.891,7.117,695,49.212,75.881,238.593,1
114.096,387.246,0.00258234,0.02418923135362307,-3.72184773,35.293,1.081,890,182.056,78.438,11.657,0
98.605,371.755,0.00268994,0.01003222435339286,-4.60195293,42.67,5.398,1055,214.059,75.431,61.072,0
152.731,425.881,0.00234807,0.1643416825361337,-1.80580759,39.057,12.93,472,261.752,66.181,150.08,0
62.274,335.424,0.0029813,0.0009257005179933771,-6.98495979,36.493,8.338,545,110.042,76.836,88.377,0
151.639,424.789,0.00235411,0.1564252164588482,-1.85517723,45.767,9.774,749,97.247,81.519,194.921,0
103.878,377.028,0.00265232,0.01364675082101012,-4.29425382,35.347,14.488,188,54.316,70.707,82.607,0
209.834,482.984,0.00207046,1.591651910563774,0.46477241,46.187,9.091,231,81.73,70.097,123.903,0
216.007,489.157,0.00204433,1.970874106600467,0.67847715,47.701,10.765,223,289.189,69.653,135.984,0
64.173,337.323,0.00296452,0.001061908817831414,-6.84768722,40.028,9.681,365,72.086,67.775,138.726,0
180.727,453.877,0.00220324,0.5372903900838506,-0.62121657,42.984,11.19,537,85.533,78.803,154.633,0
68.043,341.193,0.00293089,0.0013980630626268,-6.57266753,43.122,14.225,878,281.68,62.998,193.183,0
128.211,401.361,0.00249152,0.0508399879696312,-2.97907207,44.854,5.522,1189,74.737,58.661,136.939,0
129.559,402.709,0.00248318,0.05442890989551118,-2.91085983,44.909,13.233,151,240.276,65.255,173.388,0
131.939,405.089,0.00246859,0.06132705899109446,-2.79153411,37.532,8.973,670,275.547,75.456,108.521,0
78.811,351.961,0.00284122,0.002910966083226788,-5.83927027,44.962,1.0,1174,33.509,72.279,69.161,1
82.338,355.488,0.00281303,0.00366579596416195,-5.60870979,43.81,10.606,681,65.297,70.639,243.191,0
166.889,440.039,0.00227253,0.3048598620539258,-1.18790308,40.905,9.709,666,152.013,80.964,108.812,0
193.439,466.589,0.00214321,0.8778642100479,-0.13026336,43.65,7.247,954,96.249,66.015,246.983,0
183.784,456.934,0.0021885,0.6061324684647229,-0.50065672,46.097,10.096,536,258.677,81.236,208.806,0
114.517,387.667,0.00257953,0.02475046990248339,-3.6989108,36.29,1.125,581,277.626,66.251,182.069,0
152.89,426.04,0.0023472,0.1655238048089034,-1.79864026,39.402,10.676,253,17.914,65.337,49.626,0
191.967,465.117,0.00215,0.8304895144488695,-0.18573998,50.25,14.92,899,67.208,67.684,12.772,0
66.63,339.78,0.00294308,0.00126541444787845,-6.67235558,35.936,11.639,215,42.628,73.899,141.075,0
152.394,425.544,0.00234993,0.1618611472234019,-1.82101643,42.459,10.552,341,100.441,81.18,100.385,0
125.962,399.112,0.00250556,0.04532471230583166,-3.09390287,39.084,9.525,457,21.923,74.466,229.027,0
183.362,456.512,0.00219052,0.5961856280435224,-0.5172032,42.833,5.108,801,68.369,77.33,10.601,0
52.744,325.894,0.00306848,0.0004537283250777386,-7.69801194,40.717,3.61,627,42.132,69.745,141.215,0
75.565,348.715,0.00286767,0.002344734568106484,-6.05558307,40.769,9.214,726,202.585,58.066,234.385,0
60.08,333.23,0.00300093,0.0007884000046284392,-7.14550498,38.482,11.331,1122,266.612,71.515,139.678,0
122.628,395.778,0.00252667,0.0381384019937128,-3.26653358,38.433,7.732,368,254.396,77.035,11.024,0
135.877,409.027,0.00244483,0.07448594014391798,-2.59714489,44.697,2.255,854,24.037,58.446,174.191,0
183.734,456.884,0.00218874,0.6049462853882877,-0.50261561,49.523,10.664,1193,163.224,70.156,177.29,1
123.336,396.486,0.00252216,0.03957208453205013,-3.22963135,39.832,5.148,717,235.076,79.989,215.006,0
193.849,466.999,0.00214133,0.8914788380514771,-0.11487358,42.239,10.275,169,135.856,64.842,32.166,0
131.142,404.292,0.00247346,0.05893402210234872,-2.83133673,43.373,1.422,1127,129.39,61.219,80.474,0
160.152,433.302,0.00230786,0.2283459252508778,-1.47689358,45.585,8.788,486,175.972,63.729,41.738,0
173.054,446.204,0.00224113,0.3941215998501008,-0.93109579,43.459,7.465,1043,127.243,72.041,211.577,0
114.441,387.591,0.00258004,0.02464829001994707,-3.70304775,41.698,2.403,974,219.223,68.08,234.085,0
60.824,333.974,0.00299425,0.0008327087077071553,-7.09082667,36.111,6.803,432,223.061,63.646,242.976,0
46.886,320.036,0.00312465,0.0002866086170897179,-8.15739298,35.052,9.725,1030,138.628,55.056,224.774,0
112.728,385.878,0.00259149,0.0224441638579019,-3.79672466,41.211,3.889,979,42.438,70.418,177.235,0
107.146,380.296,0.00262953,0.0164433063515337,-4.10783679,36.769,13.091,888,237.545,57.644,196.153,0
183.786,456.936,0.00218849,0.6061799587303921,-0.50057838,48.922,2.038,283,293.482,66.035,57.604,1
106.878,380.028,0.00263139,0.01619579438716017,-4.12300368,39.903,2.435,544,152.332,67.618,132.138,0
167.486,440.636,0.00226945,0.3126345354501887,-1.16272039,43.387,8.433,606,74.6,57.297,136.648,0
108.163,381.313,0.00262252,0.01741408661511076,-4.05047582,38.671,14.188,324,260.411,65.063,226.987,0
164.7,437.85,0.00228389,0.2778074234075498,-1.28082713,38.243,1.192,605,20.846,81.259,107.13,0
106.659,379.809,0.0026329,0.01599605097550804,-4.1354134,40.764,5.694,123,297.976,63.974,209.146,0
191.498,464.648,0.00215217,0.8158788133792259,-0.20348945,42.512,1.52,479,121.618,76.862,247.292,0
42.981,316.131,0.00316325,0.0002090205419617231,-8.47307802,42.449,7.156,420,110.109,63.973,54.238,0
73.772,346.922,0.00288249,0.002077056040710702,-6.17680375,37.497,8.123,990,120.845,63.166,108.29,0
184.376,457.526,0.00218567,0.6203347421982908,-0.47749604,43.812,6.426,627,165.206,68.584,67.138,0
194.12,467.27,0.00214009,0.9005801269353207,-0.10471614,45.002,9.344,981,219.536,71.933,193.533,0
41.973,315.123,0.00317336,0.0001924187727935941,-8.55583645,39.121,4.478,912,297.399,65.004,141.531,0
43.613,316.763,0.00315693,0.0002200934239797819,-8.42145845,38.232,4.274,525,113.718,71.046,234.64,0
197.713,470.863,0.00212376,1.029269330472147,0.02884916,52.017,2.755,447,209.04,62.312,127.74,1
81.111,354.261,0.00282278,0.003385010745494964,-5.6883982,43.074,10.883,398,42.412,58.96,126.654,0
149.705,422.855,0.00236488,0.1432391516904708,-1.94323966,37.201,10.296,375,42.337,69.902,55.719,0
188.369,461.519,0.00216676,0.7240963919020996,-0.32283076,48.565,11.907,172,246.157,66.452,204.517,0
61.305,334.455,0.00298994,0.0008625595899910211,-7.05560632,36.546,10.126,676,35.116,71.548,12.546,0
164.838,437.988,0.00228317,0.2794473066472443,-1.27494153,44.478,14.654,784,295.126,64.839,169.302,0
190.995,464.145,0.0021545,0.8004625524825139,-0.22256553,43.024,10.154,107,231.859,65.956,111.227,0
53.833,326.983,0.00305826,0.0004932829856727207,-7.61442754,44.038,13.585,290,167.761,59.805,164.466,0
88.78,361.93,0.00276297,0.005521009628239086,-5.19919453,44.233,8.31,347,293.667,62.589,101.094,0
124.522,397.672,0.00251464,0.04208308890497531,-3.16810931,37.326,14.388,633,58.237,63.25,219.062,0
93.341,366.491,0.00272858,0.007314047747652624,-4.91795843,35.624,9.369,995,268.505,67.839,203.738,0
78.626,351.776,0.00284272,0.002875607411330592,-5.85149135,44.555,3.636,871,227.676,63.115,34.467,0
100.789,373.939,0.00267423,0.01140782622384443,-4.47345565,38.61,7.166,726,207.952,56.14,209.469,0
127.253,400.403,0.00249748,0.04842066950960756,-3.0278285,41.958,4.904,421,19.97,58.734,44.715,0
104.884,378.034,0.00264526,0.0144577447799035,-4.23652504,44.951,9.154,552,188.911,63.898,50.136,0
192.411,465.561,0.00214795,0.8445345855765751,-0.16896959,45.596,2.591,1132,210.392,67.365,243.86,1
148.148,421.298,0.00237362,0.1333572992101903,-2.01472329,41.267,1.619,883,13.659,57.267,189.355,0
94.091,367.241,0.00272301,0.007655113395129656,-4.87238144,42.13,6.529,433,286.739,56.279,39.068,0
139.401,412.551,0.00242394,0.0883598066645615,-2.42633809,40.847,10.019,232,285.857,61.017,99.157,0
212.002,485.152,0.00206121,1.716773355464714,0.54044657,52.374,9.736,682,180.276,75.454,171.118,1
185.968,459.118,0.00217809,0.6600043434261755,-0.41550886,45.267,4.211,317,268.792,63.527,162.967,0
144.839,417.989,0.00239241,0.1143590972030084,-2.16841181,37.776,8.066,798,38.165,68.177,248.491,0
182.981,456.131,0.00219235,0.5873300281251758,-0.53216839,40.475,2.458,216,12.695,64.18,86.942,0
152.683,425.833,0.00234834,0.1639863047400338,-1.80797236,45.989,8.912,1091,264.733,61.237,8.167,0
179.873,453.023,0.00220739,0.5193450475952649,-0.65518679,47.609,2.68,394,237.033,76.89,177.483,1
181.007,454.157,0.00220188,0.5432929505112489,-0.6101066,41.816,8.003,665,62.317,71.739,66.973,0
68.109,341.259,0.00293033,0.001404559757681951,-6.56803137,37.533,2.534,643,160.829,67.437,17.255,0
145.096,418.246,0.00239094,0.1157424074619271,-2.15638818,43.102,5.62,753,22.245,70.886,54.263,0
45.822,318.972,0.00313507,0.0002631880023198011,-8.24264194,43.306,4.766,133,139.69,73.283,87.922,0
148.772,421.922,0.00237011,0.1372417384457975,-1.98601139,41.51,14.035,168,178.371,69.999,18.728,0
140.35,413.5,0.00241838,0.09247304976331555,-2.38083803,37.603,10.868,394,208.689,61.151,179.814,0
212.422,485.572,0.00205943,1.741990735976554,0.55502856,48.367,10.398,484,33.682,59.164,202.803,0
95.486,368.636,0.0027127,0.00832825356030797,-4.7881015,38.678,13.175,759,177.457,76.878,132.269,0
102.982,376.132,0.00265864,0.01295944631451972,-4.34593031,40.65,8.886,637,25.525,70.162,121.481,0
100.788,373.938,0.00267424,0.01140715897362561,-4.47351414,37.02,3.146,981,128.138,65.398,206.656,0
76.595,349.745,0.00285923,0.00251241917653463,-5.98650917,38.486,6.115,370,199.629,62.251,62.653,0
141.448,414.598,0.00241197,0.0974462779789575,-2.32845405,43.28,13.544,1116,228.574,66.048,195.996,0
62.973,336.123,0.0029751,0.0009738522624429917,-6.93425095,38.169,3.474,320,110.546,75.334,153.189,0
126.505,399.655,0.00250216,0.04660442900684399,-3.0660597,43.154,7.335,185,267.547,64.483,55.109,0
161.322,434.472,0.00230164,0.240253140156449,-1.42606216,37.174,6.787,1073,105.614,61.51,226.229,0
73.922,347.072,0.00288125,0.002098327700306949,-6.16661458,38.053,9.804,222,37.133,73.425,91.862,0
114.398,387.548,0.00258033,0.02459064701151815,-3.70538911,41.46,5.303,193,73.158,59.24,49.343,0
183.986,457.136,0.00218753,0.6109457091516705,-0.49274718,43.527,12.398,826,62.237,57.448,215.435,0
128.16,401.31,0.00249184,0.05070849663748423,-2.9816618,43.66,13.326,760,286.742,58.647,144.295,0
87.814,360.964,0.00277036,0.00519701344131744,-5.25967116,43.44,13.989,503,87.96,72.488,86.214,0
189.557,462.707,0.00216119,0.757804463913995,-0.27732989,43.575,10.586,1065,78.363,76.587,185.057,0
214.278,487.428,0.00205159,1.85737865394327,0.61916617,45.979,11.47,117,229.3,65.658,154.22,0
